SPEAKER,SENTENCE,DOMAINID,DOMAIN,CATEGORY,SPEAKERID,SENTENCEID,MAIN,SUB,QA,QACNCT,MQ,SQ,UA,SA,개체명,용어사전,지식베이스,
점원,바로 요 앞에 이마트에 있어요,A,음식점,홀서빙음식점,0,24,주변지역문의,,A,,,,,바로 요 앞에 이마트에 있어요,"앞, 이마트",,,
고객,잔치국수 하나 주시겠어요?,A,음식점,홀서빙음식점,1,1,식사주문,,Q,,잔치국수 하나 주시겠어요?,,,,"잔치국수, 하나",,"잔치국수/메뉴, 하나/수량",
점원,네,A,음식점,홀서빙음식점,0,2,식사주문,,A,,,,,네,,,,
고객,죄송한데 물 좀 따뜻한 거?,A,음식점,홀서빙음식점,1,3,물요청,,Q,,죄송한데 물 좀 따뜻한 거?,,,,물,,,
점원,여기 옆에 정수기 있어요,A,음식점,홀서빙음식점,0,4,물요청,,A,,,,,여기 옆에 정수기 있어요,"옆, 정수기",,"옆/위치, 정수기/시설",
고객,메뉴 바꿔도 되나요?,A,음식점,홀서빙음식점,1,5,주문변경,,Q,,메뉴 바꿔도 되나요?,,,,메뉴,,,
점원,네,A,음식점,홀서빙음식점,0,6,주문변경,,A,,,,,네,,,,
고객,칼국수로 해주세요,A,음식점,홀서빙음식점,1,7,주문변경,,Q,,칼국수로 해주세요,,,,칼국수,,칼국수/메뉴,
점원,네,A,음식점,홀서빙음식점,0,8,주문변경,,A,,,,,네,,,,
고객,화장실 어디 있어요?,A,음식점,홀서빙음식점,1,9,화장실문의,,Q,,화장실 어디 있어요?,,,,"화장실, 어디",,화장실/장소,
점원,안쪽에 들어가서 오른쪽에 있어요,A,음식점,홀서빙음식점,0,10,화장실문의,,A,,,,,안쪽에 들어가서 오른쪽에 있어요,"안쪽, 오른쪽",,"안쪽, 오른쪽",
고객,국수 어느 정도 기다리면 되나요?,A,음식점,홀서빙음식점,1,11,주문메뉴대기시간문의,,Q,,국수 어느 정도 기다리면 되나요?,,,,"국수, 정도",,국수/메뉴,
점원,한 5분이면 돼요,A,음식점,홀서빙음식점,0,12,주문메뉴대기시간문의,,A,,,,,한 5분이면 돼요,5분,,5분/시간,
고객,제가 현금이 없어서 그런데 카드 가능한가요?,A,음식점,홀서빙음식점,1,13,결제방식선택,,Q,,제가 현금이 없어서 그런데 카드 가능한가요?,,,,"현금, 카드, 가능",,"현금/결제종류, 카드/결제종류",
점원,돼요,A,음식점,홀서빙음식점,0,14,결제방식선택,,A,,,,,돼요,,,,
고객,여기 물티슈 한 장만 주시겠어요?,A,음식점,홀서빙음식점,1,15,넵킨물수건요청,,Q,,여기 물티슈 한 장만 주시겠어요?,,,,"여기, 물티슈, 한 장",,"물티슈/비품, 한 장/수량",
점원,여기요,A,음식점,홀서빙음식점,0,16,넵킨물수건요청,,A,,,,,여기요,여기,,,
고객,혹시 국수 여기서 밀으신거에요?,A,음식점,홀서빙음식점,1,17,식재료공급문의,,Q,,혹시 국수 여기서 밀으신거에요?,,,,"국수, 여기",,국수/메뉴,
점원,아니요,A,음식점,홀서빙음식점,0,18,식재료공급문의,,A,,,,,아니요,,,,
고객,김치 조금만 더 주시겠어요?,A,음식점,홀서빙음식점,1,19,추가반찬요청,,Q,,김치 조금만 더 주시겠어요?,,,,"김치, 조금",,김치/반찬,
점원,더 드릴까요?,A,음식점,홀서빙음식점,0,20,추가반찬요청,양,Q,,,더 드릴까요?,,,,,,
고객,아 됐습니다,A,음식점,홀서빙음식점,1,21,추가반찬요청,양,A,,,,아 됐습니다,,,,,
고객,점심때도 장사하나요?,A,음식점,홀서빙음식점,1,22,영업시간문의,,Q,,점심때도 장사하나요?,,,,"점심, 장사",,,
점원,열한시 반에 해요,A,음식점,홀서빙음식점,0,23,영업시간문의,,A,,,,,열한시 반에 해요,열한시 반,,열한시 반/오픈시간,
고객,메뉴는 다 되나요?,A,음식점,홀서빙음식점,1,24,메뉴문의,,Q,,메뉴는 다 되나요?,,,,메뉴,,,
점원,혼자는 안 되는 것도 있어요,A,음식점,홀서빙음식점,0,25,메뉴문의,,A,,,,,혼자는 안 되는 것도 있어요,혼자,,혼자/인원,
고객,모임 여기서 하려고 하면?,A,음식점,홀서빙음식점,1,26,단체석문의,,Q,,모임 여기서 하려고 하면?,,,,"모임, 여기",,,
점원,전화하시면 돼요,A,음식점,홀서빙음식점,0,27,단체석문의,,A,,,,,전화하시면 돼요,전화,,,
고객,주차는 여기 앞에 주차해도 괜찮아요?,A,음식점,홀서빙음식점,1,28,주차공간문의,,Q,,주차는 여기 앞에 주차해도 괜찮아요?,,,,"주차, 여기, 앞",,,
점원,앞에 공터 주차장이나 바로 옆에 큰 학교 앞에 아무 곳이나 해도 돼요,A,음식점,홀서빙음식점,0,29,주차공간문의,,A,,,,,앞에 공터 주차장이나 바로 옆에 큰 학교 앞에 아무 곳이나 해도 돼요,"여기, 앞, 공터, 주차장, 옆, 학교",,,
고객,온누리상품권 이런거 받으시는지?,A,음식점,홀서빙음식점,1,30,상품권결제,,Q,,온누리상품권 이런거 받으시는지?,,,,온누리상품권,,온누리상품권/상품권,
점원,그런 건 안돼요,A,음식점,홀서빙음식점,0,31,상품권결제,,A,,,,,그런 건 안돼요,,,,
고객,등뼈 해장국이 뼈다귀 해장국이에요?,A,음식점,홀서빙음식점,1,1,메뉴판에있는음식에대한질문,,Q,,등뼈 해장국이 뼈다귀 해장국이에요?,,,,"등뼈 해장국, 뼈다귀 해장국",,"등뼈 해장국/메뉴, 뼈다귀 해장국/메뉴",
점원,네,A,음식점,홀서빙음식점,0,2,메뉴판에있는음식에대한질문,,A,,,,,네,,,,
고객,하나 되죠?,A,음식점,홀서빙음식점,1,3,식사주문,,Q,,하나 되죠?,,,,하나,,하나/수량,
점원,네,A,음식점,홀서빙음식점,0,4,식사주문,,A,,,,,네,,,,
고객,등뼈 국산이죠?,A,음식점,홀서빙음식점,1,5,원산지문의,,Q,,등뼈 국산이죠?,,,,"등뼈, 국산",,"등뼈/재료, 국산/원산지",
점원,국산하고 캐나다산하고 섞였어요,A,음식점,홀서빙음식점,0,6,원산지문의,,A,,,,,국산하고 캐나다산하고 섞였어요,"국산, 캐나다산",,"국산/원산지, 캐나다산/원산지",
고객,여기 예전에 이십사시간 아니었어요?,A,음식점,홀서빙음식점,1,7,영업시간문의,,Q,,여기 예전에 이십사시간 아니었어요?,,,,"여기, 예전, 이십사시간",,이십사시간/시간,
점원,네 그랬는데 바꿨어요,A,음식점,홀서빙음식점,0,8,영업시간문의,,A,,,,,네 그랬는데 바꿨어요,,,,
고객,저 묵은지 감자탕에 들어가는 묵은지는 직접 담은건가요?,A,음식점,홀서빙음식점,1,9,식재료공급문의,,Q,,저 묵은지 감자탕에 들어가는 묵은지는 직접 담은건가요?,,,,묵은지 감자탕,,묵은지 감자탕/메뉴,
점원,김치는 본사에서 오는 거예요,A,음식점,홀서빙음식점,0,10,식재료공급문의,,A,,,,,김치는 본사에서 오는 거예요,"김치, 본사",,김치/반찬,
고객,이 뼈다귀도 다 본사에서 오는 거예요?,A,음식점,홀서빙음식점,1,11,식재료공급문의,,Q,,이 뼈다귀도 다 본사에서 오는 거예요?,,,,"뼈다귀, 본사",,뼈다귀/재료,
점원,네,A,음식점,홀서빙음식점,0,12,식재료공급문의,,A,,,,,네,,,,
고객,식사되나요?,A,음식점,홀서빙음식점,1,1,영업시간문의,,Q,,식사되나요?,,,,식사,,,
점원,몇 분이에요?,A,음식점,홀서빙음식점,0,2,인원수에맞는자리요구,인원확인,Q,,,몇 분이에요?,,,몇 분,,,
고객,혼자 왔는데,A,음식점,홀서빙음식점,1,3,인원수에맞는자리요구,인원확인,A,,,,혼자 왔는데,,혼자,,,
고객,지금 보리밥 되나요?,A,음식점,홀서빙음식점,1,4,식사주문,,Q,,지금 보리밥 되나요?,,,,"지금, 보리밥",,보리밥/메뉴,
점원,네,A,음식점,홀서빙음식점,0,5,식사주문,,A,,,,,네,,,,
고객,물은 셀프에요?,A,음식점,홀서빙음식점,1,6,셀프서비스문의,,Q,,물은 셀프에요?,,,,"물, 셀프",,,
점원,네 숭늉 드릴게요,A,음식점,홀서빙음식점,0,7,셀프서비스문의,,A,,,,,네 숭늉 드릴게요,숭늉,,,
고객,보리밥만 하시나요?,A,음식점,홀서빙음식점,1,8,메뉴문의,,Q,,보리밥만 하시나요?,,,,보리밥,,보리밥/메뉴,
점원,네 하나만 해요,A,음식점,홀서빙음식점,0,9,메뉴문의,,A,,,,,네 하나만 해요,하나,,하나/가짓수,
고객,혹시 체크카드 되나요?,A,음식점,홀서빙음식점,1,10,결제방식선택,,Q,,혹시 체크카드 되나요?,,,,체크카드,,체크카드/결제종류,
점원,아니요,A,음식점,홀서빙음식점,0,11,결제방식선택,,A,,,,,아니요,,,,
고객,육천 원 맞지요?,A,음식점,홀서빙음식점,1,12,계산서요청,,Q,,육천 원 맞지요?,,,,육천 원,,육천 원/금액,
점원,네,A,음식점,홀서빙음식점,0,13,계산서요청,,A,,,,,네,,,,
고객,이거 나물 다 넣어가지고 비빌까요?,A,음식점,홀서빙음식점,1,14,먹는방법문의,,Q,,이거 나물 다 넣어가지고 비빌까요?,,,,나물,,나물/재료,
점원,네 그 비빔장하고 다 넣어가지고 그 다음에 물된장도 따로 나와요,A,음식점,홀서빙음식점,0,15,먹는방법문의,,A,,,,,네 그 비빔장하고 다 넣어가지고 그 다음에 물된장도 따로 나와요,"비빔장, 다음, 물된장",,"비빔장/소스, 물된장/소스",
고객,여기 현금인출기 어디 있어요?,A,음식점,홀서빙음식점,1,16,주변지역문의,,Q,,여기 현금인출기 어디 있어요?,,,,"여기, 현금인출기",,,
점원,바로 앞에 나가면 새마을금고 있어요,A,음식점,홀서빙음식점,0,17,주변지역문의,,A,,,,,바로 앞에 나가면 새마을금고 있어요,"앞, 새마을금고",,,
고객,우렁이 된장 우렁이는 국산 거예요?,A,음식점,홀서빙음식점,1,18,원산지문의,,Q,,우렁이 된장 우렁이는 국산 거예요?,,,,"우렁이 된장, 우렁이, 국산",,"우렁이 된장/메뉴, 우렁이/재료, 국산/원산지",
점원,네 국산 써요,A,음식점,홀서빙음식점,0,19,원산지문의,,A,,,,,네 국산 써요,국산,,국산/원산지,
고객,여기 혼자 먹을 수 있는 메뉴 있나?,A,음식점,홀서빙음식점,1,1,메뉴추천요청,,Q,,여기 혼자 먹을 수 있는 메뉴 있나?,,,,"여기, 혼자, 메뉴",,혼자/인원,
점원,여기 있는 메뉴 다 혼자 드실 수 있어요,A,음식점,홀서빙음식점,0,2,메뉴추천요청,,A,,,,,여기 있는 메뉴 다 혼자 드실 수 있어요,"여기, 메뉴, 혼자",,혼자/인원,
고객,그럼 김치찌개로 주세요,A,음식점,홀서빙음식점,1,3,식사주문,,Q,,그럼 김치찌개로 주세요,,,,김치찌개,,김치찌개/메뉴,
점원,네 알겠습니다,A,음식점,홀서빙음식점,0,4,식사주문,,A,,,,,네 알겠습니다,,,,
고객,여기 있는 쌈 샤부샤부는 어떻게 먹는 거예요?,A,음식점,홀서빙음식점,1,5,메뉴판에있는음식에대한질문,,Q,,여기 있는 쌈 샤부샤부는 어떻게 먹는 거예요?,,,,"여기, 쌈 샤부샤부",,쌈 샤부샤부/메뉴,
점원,여기 그림 보시면 있어요,A,음식점,홀서빙음식점,0,6,메뉴판에있는음식에대한질문,,A,,,,,여기 그림 보시면 있어요,"여기, 그림",,,
고객,이거는 무슨 물이에요 먹어도 되는 건가?,A,음식점,홀서빙음식점,1,7,음식반찬소스이름문의,,Q,,이거는 무슨 물이에요 먹어도 되는 건가?,,,,물,,,
점원,네 손님 드리려고 오가피 물이에요,A,음식점,홀서빙음식점,0,8,음식반찬소스이름문의,,A,,,,,네 손님 드리려고 오가피 물이에요,"손님, 오가피 물",,오가피 물/물,
고객,오가피는 어디서 가지고 오는 거예요?,A,음식점,홀서빙음식점,1,9,식재료공급문의,,Q,,오가피는 어디서 가지고 오는 거예요?,,,,"오가피, 어디",,오가피/재료,
점원,죽장에서 해가지고 오는 거예요,A,음식점,홀서빙음식점,0,10,식재료공급문의,,A,,,,,죽장에서 해가지고 오는 거예요,죽장,,,
고객,직불 카드도 되지요?,A,음식점,홀서빙음식점,1,11,결제방식선택,,Q,,직불 카드도 되지요?,,,,직불 카드,,직불 카드/결제종류,
점원,네,A,음식점,홀서빙음식점,0,12,결제방식선택,,A,,,,,네,,,,
고객,혼자 왔는데 혼자 먹을만한 거 뭐 있어요?,A,음식점,홀서빙음식점,1,1,메뉴추천요청,,Q,,혼자 왔는데 혼자 먹을만한 거 뭐 있어요?,,,,혼자,,혼자/인원,
점원,된장찌개 있어요,A,음식점,홀서빙음식점,0,2,메뉴추천요청,,A,,,,,된장찌개 있어요,된장찌개,,된장찌개/메뉴,
고객,돼지갈비 저런 거는 몇 명 와야 먹죠?,A,음식점,홀서빙음식점,1,3,메뉴판에있는음식에대한질문,,Q,,돼지갈비 저런 거는 몇 명 와야 먹죠?,,,,"돼지갈비, 몇 명",,돼지갈비/메뉴,
점원,삼 인분 이상 시키셔야 해요,A,음식점,홀서빙음식점,0,4,메뉴판에있는음식에대한질문,,A,,,,,삼 인분 이상 시키셔야 해요,"삼 인분, 이상",,삼 인분/수량,
고객,그러면 된장찌개 말고는 뭐 있어요?,A,음식점,홀서빙음식점,1,5,메뉴추천요청,,Q,,그러면 된장찌개 말고는 뭐 있어요?,,,,된장찌개,,된장찌개/메뉴,
점원,갈비탕도 있어요,A,음식점,홀서빙음식점,0,6,메뉴추천요청,,A,,,,,갈비탕도 있어요,갈비탕,,갈비탕/메뉴,
고객,그러면 된장찌개 주세요,A,음식점,홀서빙음식점,1,7,식사주문,,Q,,그러면 된장찌개 주세요,,,,된장찌개,,된장찌개/메뉴,
점원,네 알겠습니다,A,음식점,홀서빙음식점,0,8,식사주문,,A,,,,,네 알겠습니다,,,,
고객,여기 화장실은 어디 있어요?,A,음식점,홀서빙음식점,1,9,화장실문의,,Q,,여기 화장실은 어디 있어요?,,,,"여기, 화장실, 어디",,화장실/장소,
점원,왼쪽에 있어요,A,음식점,홀서빙음식점,0,10,화장실문의,,A,,,,,왼쪽에 있어요,왼쪽,,왼쪽/위치,
고객,여기는 돼지갈비 일 인분이 육천오백 원이에요?,A,음식점,홀서빙음식점,1,11,가격문의,,Q,,여기는 돼지갈비 일 인분이 육천오백 원이에요?,,,,"여기, 돼지갈비, 일 인분, 육천오백 원",,"돼지갈비/메뉴, 일 인분/수량, 육천오백 원/금액",
점원,네,A,음식점,홀서빙음식점,0,12,가격문의,,A,,,,,네,,,,
고객,혼자 왔는데 탕종류 먹으면 될까요?,A,음식점,홀서빙음식점,1,1,메뉴추천요청,,Q,,혼자 왔는데 탕종류 먹으면 될까요?,,,,"혼자, 탕종류",,혼자/인원,
점원,네,A,음식점,홀서빙음식점,0,2,메뉴추천요청,,A,,,,,네,,,,
고객,추어탕 하나 주세요,A,음식점,홀서빙음식점,1,3,식사주문,,Q,,추어탕 하나 주세요,,,,"추어탕, 하나",,"추어탕/메뉴, 하나/수량",
점원,네 알겠습니다,A,음식점,홀서빙음식점,0,4,식사주문,,A,,,,,네 알겠습니다,,,,
고객,이거 계산부터 해주실 수 있나요?,A,음식점,홀서빙음식점,1,5,선결제문의,,Q,,이거 계산부터 해주실 수 있나요?,,,,계산,,,
점원,네,A,음식점,홀서빙음식점,0,6,선결제문의,,A,,,,,네,,,,
고객,추어탕 맛있어요?,A,음식점,홀서빙음식점,1,7,맛에대한질문,,Q,,추어탕 맛있어요?,,,,추어탕,,추어탕/메뉴,
점원,드셔보면 알 거예요,A,음식점,홀서빙음식점,0,8,맛에대한질문,,A,,,,,드셔보면 알 거예요,,,,
고객,추어탕은 얼마에요?,A,음식점,홀서빙음식점,1,9,가격문의,,Q,,추어탕은 얼마에요?,,,,"추어탕, 얼마",,추어탕/메뉴,
점원,칠천 원이요,A,음식점,홀서빙음식점,0,10,가격문의,,A,,,,,칠천 원이요,칠천 원,,칠천 원/금액,
고객,영수증 하나 해주세요,A,음식점,홀서빙음식점,1,11,영수증요청,,Q,,영수증 하나 해주세요,,,,"영수증, 하나",,,
점원,현금영수증이요?,A,음식점,홀서빙음식점,0,12,현금영수증발행요청,현금영수증,Q,,,현금영수증이요?,,,현금영수증,,,
고객,네,A,음식점,홀서빙음식점,1,13,현금영수증발행요청,현금영수증,A,,,,네,,,,,
점원,번호 불러주시겠어요?,A,음식점,홀서빙음식점,0,14,현금영수증발행요청,번호,Q,,,번호 불러주시겠어요?,,,번호,,,
고객,#전화번호#,A,음식점,홀서빙음식점,1,15,현금영수증발행요청,번호,A,,,,#전화번호#,,#전화번호#,,#전화번호#/현금영수증번호,
고객,추어탕을 직접 끓이시는 거죠?,A,음식점,홀서빙음식점,1,16,식재료공급문의,,Q,,추어탕을 직접 끓이시는 거죠?,,,,"추어탕, 직접",,추어탕/메뉴,
점원,네 직접 하죠,A,음식점,홀서빙음식점,0,17,식재료공급문의,,A,,,,,네 직접 하죠,직접,,,
고객,여기는 계추할라면 미리 전화를 드려야 돼요?,A,음식점,홀서빙음식점,1,18,예약문의,,Q,,여기는 계추할라면 미리 전화를 드려야 돼요?,,,,"여기, 계추, 전화",,계추/행사,
점원,사람 몇 명인데요?,A,음식점,홀서빙음식점,0,19,예약문의,인원,Q,,,사람 몇 명인데요?,,,"사람, 몇 명",,,
고객,사람 여섯 명이요,A,음식점,홀서빙음식점,1,20,예약문의,인원,A,,,,사람 여섯 명이요,,"사람, 여섯 명",,여섯 명/예약인원,
점원,몇 시에요?,A,음식점,홀서빙음식점,0,21,예약문의,예약시간,Q,,,몇 시에요?,,,몇 시,,,
고객,두시,A,음식점,홀서빙음식점,1,22,예약문의,예약시간,A,,,,두시,,두시,,두시/예약시간,
점원,네 예약 안하셔도 괜찮아요,A,음식점,홀서빙음식점,0,23,예약문의,,A,18,,,,네 예약 안하셔도 괜찮아요,예약,,,
고객,혼자 왔는데,A,음식점,홀서빙음식점,1,1,1인식사자리요청,,Q,,혼자 왔는데,,,,혼자,,혼자/인원,
점원,일 인분은 안되고 이 인분부터 가능합니다,A,음식점,홀서빙음식점,0,2,1인식사자리요청,,A,,,,,일 인분은 안되고 이 인분부터 가능합니다,"일 인분, 이 인분, 가능",,"일 인분/수량, 이 인분/수량",
고객,그러면 어떤 메뉴 되는데요?,A,음식점,홀서빙음식점,1,3,메뉴추천요청,,Q,,그러면 어떤 메뉴 되는데요?,,,,메뉴,,,
점원,네 드시고 가시는 거에요?,A,음식점,홀서빙음식점,0,4,식사주문,포장문의,Q,,,네 드시고 가시는 거에요?,,,,,,
고객,네,A,음식점,홀서빙음식점,1,5,식사주문,포장문의,A,,,,네,,,,,
고객,이 인분에 얼마에요?,A,음식점,홀서빙음식점,1,6,가격문의,,Q,,이 인분에 얼마에요?,,,,"이 인분, 얼마",,이 인분/수량,
점원,이 인분에 만육천 원이요,A,음식점,홀서빙음식점,0,7,가격문의,,A,,,,,이 인분에 만육천 원이요,"이 인분, 만육천 원",,"이 인분/수량, 만육천 원/금액",
고객,그러면 닭갈비 요거는 맛있어요?,A,음식점,홀서빙음식점,1,8,맛에대한질문,,Q,,그러면 닭갈비 요거는 맛있어요?,,,,닭갈비,,닭갈비/메뉴,
점원,맛있죠,A,음식점,홀서빙음식점,0,9,맛에대한질문,,A,,,,,맛있죠,,,,
고객,이 인분 중에 일 인분만 먹고 나머지는 포장되는가?,A,음식점,홀서빙음식점,1,10,남은음식포장요구,,Q,,이 인분 중에 일 인분만 먹고 나머지는 포장되는가?,,,,"이 인분, 일 인분, 포장",,"이 인분/수량, 일 인분/수량",
점원,그래도 되죠,A,음식점,홀서빙음식점,0,11,남은음식포장요구,,A,,,,,그래도 되죠,,,,
고객,이거 매운거는 많이 매워요?,A,음식점,홀서빙음식점,1,12,맛에대한질문,,Q,,이거 매운거는 많이 매워요?,,,,,,,
점원,네 그건 좀 많이 매워요,A,음식점,홀서빙음식점,0,13,맛에대한질문,,A,,,,,네 그건 좀 많이 매워요,,,,
고객,이거 순살이죠?,A,음식점,홀서빙음식점,1,14,식재료문의,,Q,,이거 순살이죠?,,,,순살,,순살/메뉴,
점원,뼈 있는 거 자체가 없어요,A,음식점,홀서빙음식점,0,15,식재료문의,,A,,,,,뼈 있는 거 자체가 없어요,뼈,,뼈/메뉴,
고객,낙지 닭갈비에 들어가는 낙지는 냉동이죠?,A,음식점,홀서빙음식점,1,16,냉동인지생물인지문의,,Q,,낙지 닭갈비에 들어가는 낙지는 냉동이죠?,,,,"낙지 닭갈비, 낙지, 냉동",,"낙지 닭갈비/메뉴, 낙지/재료, 냉동/보관방법",
점원,네 냉동 낙지 써요,A,음식점,홀서빙음식점,0,17,냉동인지생물인지문의,,A,,,,,네 냉동 낙지 써요,냉동 낙지,,"냉동/보관방법, 낙지/재료",
고객,그러면 유가네 닭갈비 이걸로 하나 주세요,A,음식점,홀서빙음식점,1,18,식사주문,,Q,,그러면 유가네 닭갈비 이걸로 하나 주세요,,,,"유가네 닭갈비, 하나",,"유가네 닭갈비/메뉴, 하나/수량",
점원,닭갈비 이 인분으로 드릴까요?,A,음식점,홀서빙음식점,0,19,식사주문,주문확인,Q,,,닭갈비 이 인분으로 드릴까요?,,,"닭갈비, 이 인분",,"닭갈비/메뉴, 이 인분/수량",
고객,네 주세요,A,음식점,홀서빙음식점,1,20,식사주문,주문확인,A,,,,네 주세요,,,,,
고객,계산은 어디서?,A,음식점,홀서빙음식점,1,21,계산서요청,,Q,,계산은 어디서?,,,,"계산, 어디",,,
점원,바깥쪽에 있는데 나가실때 하시면 돼요,A,음식점,홀서빙음식점,0,22,계산서요청,,A,,,,,바깥쪽에 있는데 나가실때 하시면 돼요,바깥쪽,,바깥쪽/위치,
고객,지금 해주세요,A,음식점,홀서빙음식점,1,23,선결제문의,,Q,,지금 해주세요,,,,지금,,,
점원,네 해드릴게요,A,음식점,홀서빙음식점,0,24,선결제문의,,A,,,,,네 해드릴게요,,,,
고객,여기 차는 어디 세워요?,A,음식점,홀서빙음식점,1,25,주차공간문의,,Q,,여기 차는 어디 세워요?,,,,"여기, 차, 어디",,,
점원,지하주차장에 세우시면 돼요,A,음식점,홀서빙음식점,0,26,주차공간문의,,A,,,,,지하주차장에 세우시면 돼요,지하주차장,,,
고객,오십대 후반 분들 오시면 닭갈비 시키시나요?,A,음식점,홀서빙음식점,1,27,메뉴문의,,Q,,오십대 후반 분들 오시면 닭갈비 시키시나요?,,,,"오십대, 후반, 닭갈비",,"오십대 후반/대상, 닭갈비/메뉴",
점원,네 닭갈비 많이 드세요,A,음식점,홀서빙음식점,0,28,메뉴문의,,A,,,,,네 닭갈비 많이 드세요,닭갈비,,닭갈비/메뉴,
고객,네 명은 예약할 필요는 없죠?,A,음식점,홀서빙음식점,1,29,예약문의,,Q,,네 명은 예약할 필요는 없죠?,,,,"네 명, 예약",,네 명/인원,
점원,예,A,음식점,홀서빙음식점,0,30,예약문의,,A,,,,,예,,,,
고객,피클도 직접 만드셨나봐요?,A,음식점,홀서빙음식점,1,31,식재료공급문의,,Q,,피클도 직접 만드셨나봐요?,,,,"피클, 직접",,피클/반찬,
점원,피클 본사에서 내려와요,A,음식점,홀서빙음식점,0,32,식재료공급문의,,A,,,,,피클 본사에서 내려와요,"피클, 본사",,피클/반찬,
고객,여기가 체인점이구나,A,음식점,홀서빙음식점,1,33,본점지점문의,,Q,,여기가 체인점이구나,,,,"여기, 체인점",,,
점원,네 체인점이에요,A,음식점,홀서빙음식점,0,34,본점지점문의,,A,,,,,네 체인점이에요,체인점,,,
고객,여기는 뭐가 맛있어요?,A,음식점,홀서빙음식점,1,1,메뉴추천요청,,Q,,여기는 뭐가 맛있어요?,,,,여기,,,
점원,간장찜닭이 제일 잘 나가요,A,음식점,홀서빙음식점,0,2,메뉴추천요청,,A,,,,,간장찜닭이 제일 잘 나가요,간장찜닭,,간장찜닭/메뉴,
고객,세 명이서 한 마리 먹으면 돼요?,A,음식점,홀서빙음식점,1,3,양에대한질문,,Q,,세 명이서 한 마리 먹으면 돼요?,,,,"세 명, 한 마리",,"세 명/인원, 한 마리/수량",
점원,네 한 마리 하시면 돼요,A,음식점,홀서빙음식점,0,4,양에대한질문,,A,,,,,네 한 마리 하시면 돼요,한 마리,,한 마리/수량,
고객,세 명이면 한 마리 반은 해야 되는 거 아니에요?,A,음식점,홀서빙음식점,1,5,양에대한질문,,Q,,세 명이면 한 마리 반은 해야 되는 거 아니에요?,,,,"세 명, 한 마리 반",,"세 명/인원, 한 마리 반/수량",
점원,한 마리 반은 너무 많아요,A,음식점,홀서빙음식점,0,6,양에대한질문,,A,,,,,한 마리 반은 너무 많아요,한 마리 반,,한 마리 반/수량,
고객,한 마리 보통 맛이랑 공깃밥 두 개랑요 단호박 식혜도 하나 주세요,A,음식점,홀서빙음식점,1,7,식사주문,,Q,,한 마리 보통 맛이랑 공깃밥 두 개랑요 단호박 식혜도 하나 주세요,,,,"한 마리, 공깃밥, 두 개, 단호박 식혜, 하나",,"한 마리/수량, 공깃밥/메뉴, 두 개/수량, 단호박 식혜/음료, 하나/수량",
점원,네,A,음식점,홀서빙음식점,0,8,식사주문,,A,,,,,네,,,,
고객,찜닭은 오래 걸려요?,A,음식점,홀서빙음식점,1,9,주문메뉴대기시간문의,,Q,,찜닭은 오래 걸려요?,,,,찜닭,,찜닭/메뉴,
점원,오래 안 걸려요,A,음식점,홀서빙음식점,0,10,주문메뉴대기시간문의,,A,,,,,오래 안 걸려요,,,,
고객,화장실은 어디 있어요?,A,음식점,홀서빙음식점,1,11,화장실문의,,Q,,화장실은 어디 있어요?,,,,"화장실, 어디",,화장실/장소,
점원,여기 오른쪽에 바로 있어요,A,음식점,홀서빙음식점,0,12,화장실문의,,A,,,,,여기 오른쪽에 바로 있어요,"여기, 오른쪽",,오른쪽/위치,
고객,계산 좀 해주세요,A,음식점,홀서빙음식점,1,13,계산서요청,,Q,,계산 좀 해주세요,,,,계산,,,
점원,이만팔천오백 원이요,A,음식점,홀서빙음식점,0,14,계산서요청,,A,,,,,이만팔천오백 원이요,이만팔천오백 원,,이만팔천오백 원/금액,
고객,네 영수증 주세요,A,음식점,홀서빙음식점,1,15,영수증요청,,Q,,네 영수증 주세요,,,,영수증,,,
점원,네,A,음식점,홀서빙음식점,0,16,영수증요청,,A,,,,,네,,,,
고객,저희 세 명인데 어디 조용한 자리 있어요?,A,음식점,홀서빙음식점,1,1,원하는자리요구,,Q,,저희 세 명인데 어디 조용한 자리 있어요?,,,,"세 명, 어디, 자리",,세 명/인원,
점원,저쪽으로 앉으세요,A,음식점,홀서빙음식점,0,2,원하는자리요구,,A,,,,,저쪽으로 앉으세요,저쪽,,저쪽/위치,
고객,여기 메뉴판 좀 주세요,A,음식점,홀서빙음식점,1,3,메뉴판요청,,Q,,여기 메뉴판 좀 주세요,,,,"여기, 메뉴판",,메뉴판/비품,
점원,네,A,음식점,홀서빙음식점,0,4,메뉴판요청,,A,,,,,네,,,,
고객,이거 무슨 물이에요?,A,음식점,홀서빙음식점,1,5,음식반찬소스이름문의,,Q,,이거 무슨 물이에요?,,,,물,,,
점원,보리차요,A,음식점,홀서빙음식점,0,6,음식반찬소스이름문의,,A,,,,,보리차요,보리차,,보리차/물,
고객,일단은 이거는 뭐예요?,A,음식점,홀서빙음식점,1,7,메뉴판에있는음식에대한질문,,Q,,일단은 이거는 뭐예요?,,,,,,,
점원,이거는 이 메뉴를 드시면 생맥주를 이천 원에 드린다는 거예요,A,음식점,홀서빙음식점,0,8,메뉴판에있는음식에대한질문,,A,,,,,이거는 이 메뉴를 드시면 생맥주를 이천 원에 드린다는 거예요,"메뉴, 생맥주, 이천 원",,"생맥주/맥주, 이천 원/금액",
